MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,ModelYear,Origin,Modelname
18,8,307,130,3504,12,70,USA,chevrolet chevelle malibu
15,8,350,165,3693,11.5,70,USA,buick skylark 320
18,8,318,150,3436,11,70,USA,plymouth satellite
16,8,304,150,3433,12,70,USA,amc rebel sst
17,8,302,140,3449,10.5,70,USA,ford torino
15,8,429,198,4341,10,70,USA,ford galaxie 500
14,8,454,220,4354,9,70,USA,chevrolet impala
14,8,440,215,4312,8.5,70,USA,plymouth fury iii
14,8,455,225,4425,10,70,USA,pontiac catali
15,8,390,190,3850,8.5,70,USA,amc ambassador dpl
,4,133,115,3090,17.5,70,Europe,citroen ds-21 pallas
,8,350,165,4142,11.5,70,USA,chevrolet chevelle concours (sw)
,8,351,153,4034,11,70,USA,ford torino (sw)
,8,383,175,4166,10.5,70,USA,plymouth satellite (sw)
,8,360,175,3850,11,70,USA,amc rebel sst (sw)
15,8,383,170,3563,10,70,USA,dodge challenger se
14,8,340,160,3609,8,70,USA,plymouth 'cuda 340
,8,302,140,3353,8,70,USA,ford mustang boss 302
15,8,400,150,3761,9.5,70,USA,chevrolet monte carlo
14,8,455,225,3086,10,70,USA,buick estate wagon (sw)
24,4,113,95,2372,15,70,Japan,toyota coro mark ii
22,6,198,95,2833,15.5,70,USA,plymouth duster
18,6,199,97,2774,15.5,70,USA,amc hornet
21,6,200,85,2587,16,70,USA,ford maverick
27,4,97,88,2130,14.5,70,Japan,datsun pl510
26,4,97,46,1835,20.5,70,Europe,volkswagen 1131 deluxe sedan
25,4,110,87,2672,17.5,70,Europe,peugeot 504
24,4,107,90,2430,14.5,70,Europe,audi 100 ls
25,4,104,95,2375,17.5,70,Europe,saab 99e
26,4,121,113,2234,12.5,70,Europe,bmw 2002
21,6,199,90,2648,15,70,USA,amc gremlin
10,8,360,215,4615,14,70,USA,ford f250
10,8,307,200,4376,15,70,USA,chevy c20
11,8,318,210,4382,13.5,70,USA,dodge d200
9,8,304,193,4732,18.5,70,USA,hi 1200d
27,4,97,88,2130,14.5,71,Japan,datsun pl510
28,4,140,90,2264,15.5,71,USA,chevrolet vega 2300
25,4,113,95,2228,14,71,Japan,toyota coro
25,4,98,,2046,19,71,USA,ford pinto
,4,97,48,1978,20,71,Europe,volkswagen super beetle 117
19,6,232,100,2634,13,71,USA,amc gremlin
16,6,225,105,3439,15.5,71,USA,plymouth satellite custom
17,6,250,100,3329,15.5,71,USA,chevrolet chevelle malibu
